Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697617147.551257,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697617148.506614,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697617148.560757,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[7522.0929 ,0.0 ,0.0], [0.0 ,7522.0929 ,0.0], [0.0 ,0.0 ,30088.3716]]"
fix,gps,1697617149.046447,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[7433.8884 ,0.0 ,0.0], [0.0 ,7433.8884 ,0.0], [0.0 ,0.0 ,29735.5536]]"
fix,gps,1697617150.047473,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[48.1636 ,0.0 ,0.0], [0.0 ,48.1636 ,0.0], [0.0 ,0.0 ,192.6544]]"
fix,gps,1697617151.049555,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[48.1636 ,0.0 ,0.0], [0.0 ,48.1636 ,0.0], [0.0 ,0.0 ,192.6544]]"
fix,gps,1697617152.040606,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[48.1636 ,0.0 ,0.0], [0.0 ,48.1636 ,0.0], [0.0 ,0.0 ,192.6544]]"
fix,gps,1697617153.042412,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[48.1636 ,0.0 ,0.0], [0.0 ,48.1636 ,0.0], [0.0 ,0.0 ,192.6544]]"
fix,gps,1697617154.037174,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[48.1636 ,0.0 ,0.0], [0.0 ,48.1636 ,0.0], [0.0 ,0.0 ,192.6544]]"
fix,gps,1697617155.038842,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.3396 ,0.0 ,0.0], [0.0 ,34.3396 ,0.0], [0.0 ,0.0 ,137.3584]]"
