Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697615408.218504,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615409.218646,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615410.218686,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615411.225982,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615412.218389,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615413.221334,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615414.22597,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615415.227372,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615416.218552,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615417.227735,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615418.224621,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615419.218456,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615420.223269,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615421.224398,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
