NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,16,gps,1697617147.551257,GN,GGA,081907.00,,,,,0,00,99.99,,,,,,
GGA,29,gps,1697617148.506614,GN,GGA,081908.00,,,,,0,00,99.99,,,,,,
GGA,42,gps,1697617148.560757,GN,GGA,081908.50,,,,,0,03,86.73,,,,,,
GGA,55,gps,1697617149.046447,GN,GGA,081909.00,,,,,0,03,86.22,,,,,,
GGA,68,gps,1697617150.047473,GN,GGA,081910.00,,,,,0,04,6.94,,,,,,
GGA,81,gps,1697617151.049555,GN,GGA,081911.00,,,,,0,04,6.94,,,,,,
GGA,96,gps,1697617152.040606,GN,GGA,081912.00,,,,,0,04,6.94,,,,,,
GGA,112,gps,1697617153.042412,GN,GGA,081913.00,,,,,0,04,6.94,,,,,,
GGA,128,gps,1697617154.037174,GN,GGA,081914.00,,,,,0,04,6.94,,,,,,
GGA,144,gps,1697617155.038842,GN,GGA,081915.00,,,,,0,05,5.86,,,,,,
GGA,160,gps,1697617156.037258,GN,GGA,081916.00,,,,,0,05,5.86,,,,,,
GGA,176,gps,1697617157.043284,GN,GGA,081917.00,,,,,0,05,5.86,,,,,,
GGA,192,gps,1697617158.045998,GN,GGA,081918.00,,,,,0,05,5.86,,,,,,
GGA,208,gps,1697617159.036703,GN,GGA,081919.00,,,,,0,05,5.87,,,,,,
GGA,224,gps,1697617160.045269,GN,GGA,081920.00,,,,,0,05,5.87,,,,,,
GGA,240,gps,1697617161.049671,GN,GGA,081921.00,,,,,0,05,5.87,,,,,,
GGA,256,gps,1697617162.039281,GN,GGA,081922.00,,,,,0,05,5.87,,,,,,
GGA,272,gps,1697617163.037158,GN,GGA,081923.00,,,,,0,05,5.87,,,,,,
GGA,288,gps,1697617164.042071,GN,GGA,081924.00,,,,,0,05,5.87,,,,,,
GGA,304,gps,1697617165.042273,GN,GGA,081925.00,,,,,0,05,5.87,,,,,,
