NmeaType,Sequence,FrameID,RosSec,RosNsec,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA
GGA,2,1697257796,76642990,gps,GN,GN,042956.00,3442.34997,N,13529.98291,E,5,10,2.95,51.2,M,34.1,M,54.0,2124
GGA,3,1697257797,69751977,gps,GN,GN,042957.00,3442.34976,N,13529.98312,E,5,10,2.94,49.8,M,34.1,M,2.0,2124
GGA,4,1697257798,67301034,gps,GN,GN,042958.00,3442.34971,N,13529.98317,E,5,10,2.94,49.4,M,34.1,M,2.0,2124
GGA,5,1697257799,72244882,gps,GN,GN,042959.00,3442.34957,N,13529.98329,E,5,10,2.94,48.8,M,34.1,M,2.0,2124
GGA,6,1697257800,67383050,gps,GN,GN,043000.00,3442.34924,N,13529.98349,E,5,10,2.94,48.1,M,34.1,M,2.0,2124
GGA,7,1697257801,67222118,gps,GN,GN,043001.00,3442.34876,N,13529.98377,E,5,10,2.94,47.3,M,34.1,M,2.0,2124
GGA,8,1697257802,62875032,gps,GN,GN,043002.00,3442.34837,N,13529.98397,E,5,10,2.94,46.1,M,34.1,M,2.0,2124
GGA,9,1697257803,62038898,gps,GN,GN,043003.00,3442.34870,N,13529.98411,E,2,10,2.94,45.2,M,34.1,M,2.0,2124
GGA,10,1697257804,76894044,gps,GN,GN,043004.00,3442.34837,N,13529.98438,E,5,10,2.94,44.4,M,34.1,M,2.0,2124
GGA,11,1697257805,62412023,gps,GN,GN,043005.00,3442.34832,N,13529.98450,E,2,10,2.94,43.7,M,34.1,M,2.0,2124
GGA,12,1697257806,58803081,gps,GN,GN,043006.00,3442.34828,N,13529.98467,E,2,10,2.94,43.1,M,34.1,M,2.0,2124
GGA,13,1697257807,58320999,gps,GN,GN,043007.00,3442.34834,N,13529.98490,E,5,10,2.94,44.3,M,34.1,M,2.0,2124
GGA,14,1697257808,55707931,gps,GN,GN,043008.00,3442.35007,N,13529.98434,E,2,10,2.93,50.4,M,34.1,M,2.0,2124
GGA,15,1697257809,57562112,gps,GN,GN,043009.00,3442.35107,N,13529.98449,E,2,09,2.93,51.2,M,34.1,M,2.0,2124
GGA,16,1697257810,62720060,gps,GN,GN,043010.00,3442.35140,N,13529.98470,E,2,09,2.93,51.4,M,34.1,M,2.0,2124
GGA,17,1697257811,64246892,gps,GN,GN,043011.00,3442.35171,N,13529.98490,E,2,10,2.93,51.8,M,34.1,M,2.0,2124
GGA,18,1697257812,61939954,gps,GN,GN,043012.00,3442.35203,N,13529.98507,E,2,10,2.93,52.0,M,34.1,M,2.0,2124
GGA,19,1697257813,51388978,gps,GN,GN,043013.00,3442.35200,N,13529.98533,E,2,10,2.93,51.1,M,34.1,M,2.0,2124
GGA,20,1697257814,63004970,gps,GN,GN,043014.00,3442.35216,N,13529.98547,E,2,10,2.93,51.2,M,34.1,M,2.0,2124
GGA,21,1697257815,53231954,gps,GN,GN,043015.00,3442.35210,N,13529.98587,E,5,10,2.93,51.2,M,34.1,M,2.0,2124
GGA,22,1697257816,54264068,gps,GN,GN,043016.00,3442.35231,N,13529.98587,E,5,09,2.93,51.9,M,34.1,M,2.0,2124
GGA,23,1697257817,55411100,gps,GN,GN,043017.00,3442.35121,N,13529.98651,E,5,09,2.93,49.6,M,34.1,M,2.0,2124
GGA,24,1697257818,59484958,gps,GN,GN,043018.00,3442.35134,N,13529.98718,E,5,09,2.93,49.2,M,34.1,M,2.0,2124
GGA,25,1697257819,52396059,gps,GN,GN,043019.00,3442.35159,N,13529.98762,E,5,09,2.92,49.9,M,34.1,M,2.0,2124
GGA,26,1697257820,51552057,gps,GN,GN,043020.00,3442.35156,N,13529.98857,E,5,09,2.92,49.0,M,34.1,M,2.0,2124
GGA,27,1697257821,52733898,gps,GN,GN,043021.00,3442.35148,N,13529.98925,E,5,09,2.92,47.9,M,34.1,M,2.0,2124
GGA,28,1697257822,51918029,gps,GN,GN,043022.00,3442.35131,N,13529.98989,E,5,09,2.92,47.1,M,34.1,M,2.0,2124
GGA,29,1697257823,59832096,gps,GN,GN,043023.00,3442.35165,N,13529.99028,E,5,09,2.92,47.7,M,34.1,M,2.0,2124
GGA,30,1697257824,53385019,gps,GN,GN,043024.00,3442.35208,N,13529.99058,E,5,09,2.92,48.2,M,34.1,M,2.0,2124
GGA,31,1697257825,51103115,gps,GN,GN,043025.00,3442.35225,N,13529.99081,E,5,09,2.92,48.6,M,34.1,M,2.0,2124
GGA,32,1697257826,48477888,gps,GN,GN,043026.00,3442.35253,N,13529.99098,E,5,09,2.92,49.0,M,34.1,M,2.0,2124
GGA,33,1697257827,48078060,gps,GN,GN,043027.00,3442.35321,N,13529.99112,E,5,09,2.92,50.1,M,34.1,M,2.0,2124
GGA,34,1697257828,56443929,gps,GN,GN,043028.00,3442.35262,N,13529.99141,E,5,09,2.92,48.8,M,34.1,M,2.0,2124
GGA,35,1697257829,45516967,gps,GN,GN,043029.00,3442.35236,N,13529.99167,E,5,09,2.92,48.2,M,34.1,M,2.0,2124
GGA,36,1697257830,45589923,gps,GN,GN,043030.00,3442.35271,N,13529.99177,E,2,09,2.92,49.0,M,34.1,M,2.0,2124
GGA,37,1697257831,43519020,gps,GN,GN,043031.00,3442.35284,N,13529.99195,E,2,09,2.91,49.7,M,34.1,M,2.0,2124
GGA,38,1697257832,41749000,gps,GN,GN,043032.00,3442.35301,N,13529.99210,E,2,09,2.91,50.0,M,34.1,M,2.0,2124
GGA,39,1697257833,50890922,gps,GN,GN,043033.00,3442.35341,N,13529.99216,E,2,09,2.91,50.1,M,34.1,M,2.0,2124
